card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_palette
ZETA-2882,ZETA,7,Kalzane,Viral,Metal,PHAGE CELL,1943,181,36,25,171,Forge Rush,Steel Catalyst,Alloy Stun,Alloy Restore,Titan Overdrive,Alloy Slam,Titan Restore,Steel Slam,Steel Suppress,Strain Kalzane breaches containment. Metal-mutation sequence active. Quarantine failed.,ZETA-2882_Kalzane_idle.png,ID.3139|ID.2663|ID.3355,"[231, 23, 37]"
ZETA-2883,ZETA,7,Axien,Viral,Nature,ROT CLUSTER,1796,192,33,28,126,Canopy Boost,Spore Rush,Vine Shield,Spore Onslaught,Canopy Silence,Vine Catalyst,Root Lock,Canopy Rush,Canopy Catalyst,Strain Axien breaches containment. Nature-mutation sequence active. Quarantine failed.,ZETA-2883_Axien_idle.png,ID.4108|ID.1547|ID.7425,"[85, 89, 68]"
ZETA-2884,ZETA,7,Zane Strain,Viral,Ice,PHAGE CELL,1791,184,31,30,143,Chill Charge,Chill Terminus,Frost Cleanse,Freeze Drain,Crystal Strike,Crystal Cataclysm,Hail Shield,Chill Slam,Freeze Suppress,Strain Zane Strain breaches containment. Ice-mutation sequence active. Quarantine failed.,ZETA-2884_Zane_Strain_idle.png,ID.8937|ID.4611|ID.6658,"[186, 145, 250]"
ZETA-2885,ZETA,7,Mion Reaver,Demonic,Metal,BRIMSTONE CELL,2207,150,30,26,170,Forge Charge,Steel Overdrive,Titan Catalyst,Plate Silence,Alloy Empower,Alloy Barrage,Steel Stun,Alloy Restore,Titan Strike,Mion Reaver claws forth from the ABYSSAL CABAL. Metal burns in its wake.,ZETA-2885_Mion_Reaver_idle.png,ID.2186|ID.8450|ID.1433,"[36, 38, 144]"
ZETA-2886,ZETA,7,Omlor,Demonic,Plasma,BRIMSTONE CELL,2227,159,26,31,175,Fusion Charge,Solar Suppress,Nebula Cataclysm,Flux Strike,Ion Ward,Ion Suppress,Star Strike,Flux Restore,Solar Terminus,Omlor claws forth from the PANDEMONIUM NET. Plasma burns in its wake.,ZETA-2886_Omlor_idle.png,ID.6224|ID.9178|ID.4980,"[217, 44, 190]"
ZETA-2887,ZETA,7,Vax Beast,Demonic,Metal,VOID CULT,1597,168,28,29,129,Iron Onslaught,Alloy Boost,Plate Slam,Plate Boost,Titan Suppress,Alloy Cataclysm,Plate Barrage,Plate Apotheosis,Steel Drain,Vax Beast claws forth from the PANDEMONIUM NET. Metal burns in its wake.,ZETA-2887_Vax_Beast_idle.png,ID.8695|ID.3248|ID.3710,"[179, 179, 75]"
ZETA-2888,ZETA,7,Gorn Sentinel,Angelic,Metal,ASTRUM DIVISION,1755,181,28,31,132,Iron Empower,Iron Shield,Alloy Suppress,Alloy Terminus,Titan Charge,Plate Cataclysm,Steel Bind,Plate Rush,Forge Strike,Gorn Sentinel descends from the CELESTIAL ORDER. Metal radiance shields the faithful.,ZETA-2888_Gorn_Sentinel_idle.png,ID.3501|ID.2236|ID.6474,"[162, 189, 91]"
ZETA-2889,ZETA,7,Morn Vector,Viral,Blood,INFECTION VECTOR,1432,192,28,26,184,Pulse Ward,Sanguine Boost,Vein Overdrive,Vital Lock,Hemorrhage Overdrive,Vein Rush,Vital Silence,Vital Onslaught,Hemorrhage Barrage,Strain Morn Vector breaches containment. Blood-mutation sequence active. Quarantine failed.,ZETA-2889_Morn_Vector_idle.png,ID.7487|ID.9732|ID.2949,"[47, 2, 183]"
ZETA-2890,ZETA,7,SynapticZane,Viral,Metal,CORRUPTED SECTOR,1509,193,30,38,100,Alloy Zenith,Plate Empower,Forge Onslaught,Iron Boost,Steel Silence,Plate Charge,Steel Suppress,Alloy Charge,Steel Terminus,Strain SynapticZane breaches containment. Metal-mutation sequence active. Quarantine failed.,ZETA-2890_SynapticZane_idle.png,ID.4169|ID.1243|ID.7872,"[189, 13, 53]"
ZETA-2891,ZETA,7,SynapticNax,Angelic,Nature,LUMINA SECT,1925,150,31,38,115,Vine Lock,Thorn Rush,Spore Cataclysm,Vine Shield,Spore Restore,Vine Charge,Spore Apotheosis,Root Onslaught,Vine Silence,SynapticNax descends from the HALO CORE. Nature radiance shields the faithful.,ZETA-2891_SynapticNax_idle.png,ID.6357|ID.2969|ID.9846,"[51, 48, 34]"
ZETA-2892,ZETA,7,Myrir,Mechanical,Dark,SYNTHETIC NETWORK,1595,131,34,30,137,Eclipse Cleanse,Abyss Terminus,Eclipse Barrage,Eclipse Restore,Umbra Slam,Umbra Suppress,Night Suppress,Shadow Terminus,Night Slam,Unit Myrir deployed from GEAR SECT. Core temperature stable. Elemental sync: Dark.,ZETA-2892_Myrir_idle.png,ID.8436|ID.7888|ID.9373,"[55, 182, 204]"
ZETA-2893,ZETA,7,Xel Unit,Mechanical,Light,PROTOCOL DIVISION,2270,147,29,38,168,Beam Overdrive,Radiance Silence,Prism Restore,Radiance Onslaught,Lumen Overdrive,Radiance Rush,Radiance Slam,Dawn Drain,Dawn Boost,Unit Xel Unit deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Light.,ZETA-2893_Xel_Unit_idle.png,ID.9682|ID.3269|ID.4025,"[94, 117, 9]"
ZETA-2894,ZETA,7,AetherPhos,Mechanical,Ice,PROTOCOL DIVISION,2316,191,35,33,189,Glacier Apotheosis,Chill Boost,Hail Overdrive,Frost Barrage,Freeze Drain,Freeze Lock,Frost Shield,Crystal Charge,Crystal Strike,Unit AetherPhos deployed from GEAR SECT. Core temperature stable. Elemental sync: Ice.,ZETA-2894_AetherPhos_idle.png,ID.1777|ID.8615|ID.3522,"[200, 122, 45]"
ZETA-2895,ZETA,7,Helis,Angelic,Crystal,ASTRUM DIVISION,2311,138,22,38,140,Shard Slam,Facet Boost,Geode Barrage,Facet Bind,Geode Boost,Geode Zenith,Facet Apotheosis,Geode Stun,Facet Charge,Helis descends from the ASTRUM DIVISION. Crystal radiance shields the faithful.,ZETA-2895_Helis_idle.png,ID.7510|ID.9702|ID.6799,"[35, 206, 112]"
ZETA-2896,ZETA,7,Syldune,Mechanical,Blood,PROTOCOL DIVISION,1537,121,26,25,143,Vein Apotheosis,Sanguine Shield,Vein Bind,Crimson Cleanse,Hemorrhage Apotheosis,Crimson Rush,Hemorrhage Drain,Vein Strike,Crimson Rush,Unit Syldune deployed from IRON CORTEX. Core temperature stable. Elemental sync: Blood.,ZETA-2896_Syldune_idle.png,ID.3929|ID.1309|ID.4484,"[76, 155, 105]"
ZETA-2897,ZETA,7,Toroth,Viral,Earth,INFECTION VECTOR,1752,162,26,33,177,Mountain Zenith,Mountain Slam,Core Charge,Core Charge,Stone Boost,Stone Restore,Fissure Terminus,Core Drain,Core Drain,Strain Toroth breaches containment. Earth-mutation sequence active. Quarantine failed.,ZETA-2897_Toroth_idle.png,ID.5755|ID.2584|ID.9109,"[226, 251, 103]"
ZETA-2898,ZETA,7,StellarMorn,Mechanical,Time,PROTOCOL DIVISION,2099,157,30,34,134,Loop Silence,Epoch Bind,Shift Cataclysm,Chrono Charge,Paradox Shield,Loop Barrage,Loop Overdrive,Paradox Charge,Chrono Restore,Unit StellarMorn deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Time.,ZETA-2898_StellarMorn_idle.png,ID.8438|ID.8536|ID.7117,"[244, 13, 147]"
ZETA-2899,ZETA,7,Yoran,Demonic,Light,BRIMSTONE CELL,1523,182,29,34,145,Solar Empower,Dawn Overdrive,Beam Ward,Prism Catalyst,Prism Strike,Dawn Slam,Prism Silence,Beam Silence,Prism Rush,Yoran claws forth from the PANDEMONIUM NET. Light burns in its wake.,ZETA-2899_Yoran_idle.png,ID.4413|ID.7045|ID.6210,"[10, 172, 185]"
ZETA-2900,ZETA,7,Fenvex,Viral,Earth,CORRUPTED SECTOR,2116,182,33,29,90,Terra Charge,Mountain Suppress,Stone Stun,Terra Empower,Mountain Empower,Mountain Barrage,Fissure Overdrive,Core Cataclysm,Fissure Strike,Strain Fenvex breaches containment. Earth-mutation sequence active. Quarantine failed.,ZETA-2900_Fenvex_idle.png,ID.1100|ID.6007|ID.1305,"[11, 60, 175]"
ZETA-2901,ZETA,7,CelestialDune,Viral,Plasma,INFECTION VECTOR,2374,141,27,31,164,Solar Strike,Solar Suppress,Solar Barrage,Flux Bind,Solar Terminus,Fusion Ward,Flux Cleanse,Flux Terminus,Fusion Rush,Strain CelestialDune breaches containment. Plasma-mutation sequence active. Quarantine failed.,ZETA-2901_CelestialDune_idle.png,ID.6674|ID.4025|ID.6072,"[35, 140, 181]"
ZETA-2902,ZETA,7,Zire Drone,Mechanical,Poison,SYNTHETIC NETWORK,1938,174,32,38,122,Blight Lock,Toxin Shield,Toxin Onslaught,Plague Zenith,Toxin Charge,Plague Cleanse,Plague Bind,Blight Apotheosis,Contagion Onslaught,Unit Zire Drone deployed from IRON CORTEX. Core temperature stable. Elemental sync: Poison.,ZETA-2902_Zire_Drone_idle.png,ID.7676|ID.4348|ID.5131,"[174, 84, 78]"
ZETA-2903,ZETA,7,AstralMion,Angelic,Wind,ASTRUM DIVISION,1896,196,24,39,153,Breeze Ward,Cyclone Lock,Gale Charge,Cyclone Bind,Zephyr Catalyst,Cyclone Shield,Squall Terminus,Draft Slam,Cyclone Strike,AstralMion descends from the ASTRUM DIVISION. Wind radiance shields the faithful.,ZETA-2903_AstralMion_idle.png,ID.3159|ID.7290|ID.5851,"[83, 115, 37]"
ZETA-2904,ZETA,7,Ophus,Angelic,Dark,CELESTIAL ORDER,2379,114,34,36,120,Shadow Apotheosis,Eclipse Silence,Shadow Terminus,Void Slam,Eclipse Strike,Shadow Slam,Abyss Stun,Umbra Ward,Abyss Cleanse,Ophus descends from the LUMINA SECT. Dark radiance shields the faithful.,ZETA-2904_Ophus_idle.png,ID.7071|ID.6680|ID.2976,"[181, 175, 198]"
ZETA-2905,ZETA,7,Zepiel,Angelic,Nature,CELESTIAL ORDER,1791,131,30,33,141,Vine Boost,Root Terminus,Canopy Charge,Spore Stun,Root Cleanse,Root Barrage,Bloom Drain,Thorn Cataclysm,Root Barrage,Zepiel descends from the CELESTIAL ORDER. Nature radiance shields the faithful.,ZETA-2905_Zepiel_idle.png,ID.4506|ID.6000|ID.3497,"[59, 53, 125]"
ZETA-2906,ZETA,7,Xenael,Demonic,Poison,ABYSSAL CABAL,1967,194,33,27,168,Venom Slam,Contagion Apotheosis,Toxin Rush,Plague Barrage,Miasma Restore,Venom Silence,Blight Restore,Venom Cataclysm,Venom Suppress,Xenael claws forth from the BRIMSTONE CELL. Poison burns in its wake.,ZETA-2906_Xenael_idle.png,ID.3726|ID.9067|ID.6898,"[181, 109, 160]"
ZETA-2907,ZETA,7,Solgorn,Demonic,Dark,ABYSSAL CABAL,1488,154,29,39,151,Shadow Catalyst,Umbra Restore,Umbra Suppress,Umbra Charge,Eclipse Drain,Umbra Catalyst,Void Cleanse,Umbra Slam,Abyss Rush,Solgorn claws forth from the PANDEMONIUM NET. Dark burns in its wake.,ZETA-2907_Solgorn_idle.png,ID.4776|ID.2940|ID.7104,"[88, 49, 155]"
ZETA-2908,ZETA,7,Lor Reaver,Demonic,Fire,PANDEMONIUM NET,1546,191,29,33,176,Inferno Cleanse,Ignite Apotheosis,Ignite Strike,Ignite Bind,Inferno Silence,Ember Barrage,Scorch Apotheosis,Ember Rush,Scorch Restore,Lor Reaver claws forth from the ABYSSAL CABAL. Fire burns in its wake.,ZETA-2908_Lor_Reaver_idle.png,ID.4021|ID.2724|ID.4059,"[0, 101, 56]"
ZETA-2909,ZETA,7,VoidVorn,Viral,Poison,PHAGE CELL,2112,197,28,27,105,Contagion Rush,Toxin Restore,Plague Bind,Toxin Terminus,Plague Barrage,Venom Zenith,Toxin Barrage,Venom Restore,Contagion Bind,Strain VoidVorn breaches containment. Poison-mutation sequence active. Quarantine failed.,ZETA-2909_VoidVorn_idle.png,ID.5906|ID.1145|ID.8266,"[159, 72, 193]"
ZETA-2910,ZETA,7,Nir Horror,Demonic,Wind,VOID CULT,1791,196,33,25,108,Gale Stun,Squall Empower,Draft Catalyst,Draft Barrage,Squall Suppress,Draft Slam,Draft Catalyst,Breeze Barrage,Draft Shield,Nir Horror claws forth from the VOID CULT. Wind burns in its wake.,ZETA-2910_Nir_Horror_idle.png,ID.3102|ID.7346|ID.4671,"[135, 29, 52]"
ZETA-2911,ZETA,7,Pyrvius,Mechanical,Blood,PROTOCOL DIVISION,1619,171,33,36,165,Sanguine Cataclysm,Vital Charge,Vein Barrage,Crimson Bind,Hemorrhage Boost,Vital Shield,Hemorrhage Suppress,Vein Onslaught,Sanguine Zenith,Unit Pyrvius deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Blood.,ZETA-2911_Pyrvius_idle.png,ID.1060|ID.7122|ID.1508,"[183, 99, 16]"
ZETA-2912,ZETA,7,AstralDra,Angelic,Crystal,ASTRUM DIVISION,2395,124,34,31,120,Geode Boost,Prism Slam,Prism Overdrive,Geode Bind,Shard Restore,Facet Barrage,Shard Charge,Lattice Stun,Geode Apotheosis,AstralDra descends from the HALO CORE. Crystal radiance shields the faithful.,ZETA-2912_AstralDra_idle.png,ID.2024|ID.2362|ID.6277,"[65, 152, 204]"
ZETA-2913,ZETA,7,LunarNir,Demonic,Dark,ABYSSAL CABAL,1937,153,35,29,146,Umbra Silence,Shadow Charge,Abyss Strike,Abyss Cleanse,Night Restore,Shadow Cataclysm,Eclipse Charge,Umbra Silence,Night Overdrive,LunarNir claws forth from the ABYSSAL CABAL. Dark burns in its wake.,ZETA-2913_LunarNir_idle.png,ID.3558|ID.6802|ID.9416,"[25, 76, 238]"
ZETA-2914,ZETA,7,Krylis,Angelic,Void,HALO CORE,1901,151,34,29,128,Entropy Shield,Entropy Suppress,Erase Overdrive,Null Barrage,Erase Suppress,Entropy Onslaught,Entropy Apotheosis,Null Shield,Collapse Onslaught,Krylis descends from the HALO CORE. Void radiance shields the faithful.,ZETA-2914_Krylis_idle.png,ID.8513|ID.5253|ID.5987,"[187, 97, 102]"
ZETA-2915,ZETA,7,Lor Host,Viral,Dark,CORRUPTED SECTOR,2294,148,36,36,92,Eclipse Onslaught,Void Suppress,Abyss Slam,Night Lock,Abyss Boost,Void Apotheosis,Void Cleanse,Night Slam,Void Apotheosis,Strain Lor Host breaches containment. Dark-mutation sequence active. Quarantine failed.,ZETA-2915_Lor_Host_idle.png,ID.6465|ID.7640|ID.9348,"[77, 26, 222]"
ZETA-2916,ZETA,7,Qorkros,Angelic,Blood,LUMINA SECT,2388,152,35,32,171,Sanguine Bind,Sanguine Empower,Crimson Charge,Crimson Apotheosis,Sanguine Suppress,Vital Apotheosis,Crimson Charge,Sanguine Rush,Vital Restore,Qorkros descends from the HALO CORE. Blood radiance shields the faithful.,ZETA-2916_Qorkros_idle.png,ID.6949|ID.5607|ID.6925,"[158, 28, 228]"
ZETA-2917,ZETA,7,Vax Archon,Angelic,Earth,CELESTIAL ORDER,1670,157,32,34,131,Fissure Drain,Fissure Cleanse,Quake Restore,Core Barrage,Stone Cataclysm,Core Strike,Fissure Bind,Core Charge,Quake Apotheosis,Vax Archon descends from the ASTRUM DIVISION. Earth radiance shields the faithful.,ZETA-2917_Vax_Archon_idle.png,ID.5897|ID.6603|ID.4620,"[132, 224, 98]"
ZETA-2918,ZETA,7,Dros Host,Viral,Light,PHAGE CELL,2159,153,33,32,145,Solar Suppress,Beam Ward,Dawn Strike,Prism Charge,Beam Empower,Lumen Slam,Lumen Terminus,Solar Catalyst,Prism Drain,Strain Dros Host breaches containment. Light-mutation sequence active. Quarantine failed.,ZETA-2918_Dros_Host_idle.png,ID.5195|ID.9397|ID.2794,"[114, 104, 167]"
ZETA-2919,ZETA,7,Vyran,Viral,Sound,CORRUPTED SECTOR,2099,190,31,32,173,Echo Terminus,Echo Cleanse,Resonance Drain,Pulse Onslaught,Wave Barrage,Echo Onslaught,Wave Ward,Tone Lock,Pulse Cataclysm,Strain Vyran breaches containment. Sound-mutation sequence active. Quarantine failed.,ZETA-2919_Vyran_idle.png,ID.8956|ID.2125|ID.6538,"[108, 245, 46]"
ZETA-2920,ZETA,7,Mion Core,Mechanical,Time,PROTOCOL DIVISION,1779,147,29,27,147,Epoch Drain,Loop Stun,Paradox Apotheosis,Loop Barrage,Shift Cleanse,Epoch Ward,Epoch Charge,Paradox Overdrive,Loop Rush,Unit Mion Core deployed from GEAR SECT. Core temperature stable. Elemental sync: Time.,ZETA-2920_Mion_Core_idle.png,ID.9009|ID.5607|ID.1373,"[222, 182, 0]"
ETA-4501,ETA,8,Vex Strain,Viral,Earth,INFECTION VECTOR,1527,102,22,21,122,Stone Overdrive,Fissure Boost,Fissure Strike,Stone Charge,Quake Terminus,Stone Drain,Mountain Rush,Stone Silence,Stone Empower,Strain Vex Strain breaches containment. Earth-mutation sequence active. Quarantine failed.,ETA-4501_Vex_Strain_idle.png,ID.8711|ID.7817|ID.5738,"[187, 189, 128]"
ETA-4502,ETA,8,Ron Fiend,Demonic,Water,PANDEMONIUM NET,1329,146,25,29,128,Current Charge,Torrent Empower,Surge Strike,Current Cleanse,Tide Silence,Surge Bind,Abyss Catalyst,Current Charge,Torrent Zenith,Ron Fiend claws forth from the ABYSSAL CABAL. Water burns in its wake.,ETA-4502_Ron_Fiend_idle.png,ID.8611|ID.7766|ID.5735,"[40, 204, 84]"
ETA-4503,ETA,8,OmniPhos,Viral,Poison,CORRUPTED SECTOR,1462,118,22,28,67,Toxin Bind,Blight Terminus,Venom Charge,Contagion Restore,Plague Stun,Venom Ward,Venom Barrage,Miasma Cataclysm,Miasma Strike,Strain OmniPhos breaches containment. Poison-mutation sequence active. Quarantine failed.,ETA-4503_OmniPhos_idle.png,ID.1153|ID.6580|ID.8357,"[81, 215, 223]"
ETA-4504,ETA,8,Omgorn,Mechanical,Void,IRON CORTEX,1330,126,25,32,95,Collapse Slam,Entropy Ward,Erase Restore,Abyss Apotheosis,Erase Strike,Entropy Zenith,Zero Onslaught,Zero Drain,Zero Suppress,Unit Omgorn deployed from PROTOCOL DIVISION. Core temperature stable. Elemental sync: Void.,ETA-4504_Omgorn_idle.png,ID.6521|ID.8962|ID.5525,"[78, 48, 127]"
ETA-4505,ETA,8,Krydune,Angelic,Nature,LUMINA SECT,1654,132,21,32,86,Thorn Rush,Spore Apotheosis,Thorn Slam,Thorn Stun,Root Terminus,Bloom Slam,Root Boost,Spore Shield,Thorn Drain,Krydune descends from the ASTRUM DIVISION. Nature radiance shields the faithful.,ETA-4505_Krydune_idle.png,ID.5552|ID.7399|ID.2074,"[52, 61, 109]"
ETA-4506,ETA,8,Tor Warden,Angelic,Nature,CELESTIAL ORDER,1685,109,24,28,102,Bloom Apotheosis,Spore Drain,Vine Rush,Spore Onslaught,Root Empower,Thorn Shield,Canopy Overdrive,Spore Drain,Vine Charge,Tor Warden descends from the CELESTIAL ORDER. Nature radiance shields the faithful.,ETA-4506_Tor_Warden_idle.png,ID.2772|ID.8752|ID.2500,"[149, 153, 184]"
ETA-4507,ETA,8,Zyras,Demonic,Sound,ABYSSAL CABAL,1211,110,24,31,83,Pulse Stun,Pulse Overdrive,Resonance Shield,Wave Restore,Tone Strike,Tone Strike,Pulse Zenith,Resonance Suppress,Pulse Slam,Zyras claws forth from the PANDEMONIUM NET. Sound burns in its wake.,ETA-4507_Zyras_idle.png,ID.3033|ID.5634|ID.3932,"[95, 79, 229]"
ETA-4508,ETA,8,Zane Fiend,Demonic,Light,PANDEMONIUM NET,1199,136,23,21,107,Beam Strike,Lumen Bind,Dawn Restore,Solar Silence,Radiance Ward,Beam Zenith,Dawn Strike,Dawn Onslaught,Dawn Terminus,Zane Fiend claws forth from the BRIMSTONE CELL. Light burns in its wake.,ETA-4508_Zane_Fiend_idle.png,ID.9480|ID.8410|ID.6090,"[218, 248, 19]"
ETA-4509,ETA,8,Thas Saint,Angelic,Plasma,HALO CORE,1255,92,24,24,99,Ion Ward,Nebula Cataclysm,Flux Barrage,Star Charge,Nebula Restore,Fusion Barrage,Nebula Apotheosis,Flux Stun,Nebula Bind,Thas Saint descends from the HALO CORE. Plasma radiance shields the faithful.,ETA-4509_Thas_Saint_idle.png,ID.4778|ID.1970|ID.8492,"[139, 116, 229]"
ETA-4510,ETA,8,LunarVex,Viral,Nature,ROT CLUSTER,1367,123,22,30,103,Bloom Cataclysm,Thorn Rush,Canopy Restore,Root Rush,Vine Suppress,Canopy Stun,Canopy Cataclysm,Vine Boost,Vine Onslaught,Strain LunarVex breaches containment. Nature-mutation sequence active. Quarantine failed.,ETA-4510_LunarVex_idle.png,ID.7106|ID.3249|ID.9418,"[121, 234, 86]"
ETA-4511,ETA,8,OmniSion,Demonic,Fire,BRIMSTONE CELL,1391,146,22,20,75,Ember Slam,Scorch Catalyst,Inferno Charge,Scorch Slam,Ember Silence,Blaze Shield,Blaze Shield,Combust Overdrive,Ignite Silence,OmniSion claws forth from the PANDEMONIUM NET. Fire burns in its wake.,ETA-4511_OmniSion_idle.png,ID.6354|ID.8759|ID.4098,"[179, 22, 99]"
ETA-4512,ETA,8,Joror,Demonic,Light,VOID CULT,1296,111,25,20,109,Beam Zenith,Prism Empower,Solar Apotheosis,Radiance Bind,Prism Cleanse,Beam Rush,Solar Barrage,Radiance Onslaught,Dawn Stun,Joror claws forth from the ABYSSAL CABAL. Light burns in its wake.,ETA-4512_Joror_idle.png,ID.8562|ID.3433|ID.3071,"[44, 208, 113]"
ETA-4513,ETA,8,Sol Saint,Angelic,Metal,CELESTIAL ORDER,1620,147,21,23,90,Iron Charge,Plate Bind,Plate Apotheosis,Alloy Cleanse,Titan Drain,Forge Restore,Alloy Barrage,Steel Catalyst,Titan Charge,Sol Saint descends from the HALO CORE. Metal radiance shields the faithful.,ETA-4513_Sol_Saint_idle.png,ID.4441|ID.1170|ID.9075,"[113, 31, 183]"
ETA-4514,ETA,8,Sion Unit,Mechanical,Earth,GEAR SECT,1265,86,26,31,113,Core Boost,Mountain Barrage,Quake Slam,Quake Barrage,Stone Empower,Mountain Drain,Stone Apotheosis,Fissure Catalyst,Quake Silence,Unit Sion Unit deployed from GEAR SECT. Core temperature stable. Elemental sync: Earth.,ETA-4514_Sion_Unit_idle.png,ID.8435|ID.6215|ID.7606,"[94, 173, 53]"
ETA-4515,ETA,8,Nax Drone,Mechanical,Water,SYNTHETIC NETWORK,1307,98,21,21,132,Depth Lock,Surge Empower,Torrent Onslaught,Abyss Overdrive,Depth Slam,Torrent Strike,Current Catalyst,Torrent Stun,Abyss Cleanse,Unit Nax Drone deployed from IRON CORTEX. Core temperature stable. Elemental sync: Water.,ETA-4515_Nax_Drone_idle.png,ID.3252|ID.4915|ID.2417,"[46, 127, 179]"
ETA-4516,ETA,8,AstralNax,Mechanical,Metal,IRON CORTEX,1517,117,25,22,104,Titan Bind,Plate Apotheosis,Iron Rush,Iron Empower,Steel Suppress,Alloy Rush,Forge Apotheosis,Steel Empower,Steel Rush,Unit AstralNax deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Metal.,ETA-4516_AstralNax_idle.png,ID.5239|ID.7096|ID.9129,"[12, 110, 186]"
ETA-4517,ETA,8,Rios Unit,Mechanical,Time,SYNTHETIC NETWORK,1041,136,28,26,113,Era Rush,Chrono Drain,Shift Shield,Chrono Ward,Loop Zenith,Era Lock,Era Onslaught,Shift Overdrive,Loop Onslaught,Unit Rios Unit deployed from GEAR SECT. Core temperature stable. Elemental sync: Time.,ETA-4517_Rios_Unit_idle.png,ID.9385|ID.8881|ID.1491,"[4, 152, 31]"
ETA-4518,ETA,8,Qorxis,Mechanical,Void,SYNTHETIC NETWORK,1477,99,20,29,140,Abyss Boost,Zero Rush,Erase Rush,Abyss Lock,Null Apotheosis,Erase Cataclysm,Erase Lock,Entropy Boost,Entropy Strike,Unit Qorxis deployed from IRON CORTEX. Core temperature stable. Elemental sync: Void.,ETA-4518_Qorxis_idle.png,ID.9395|ID.8478|ID.1515,"[237, 232, 162]"
ETA-4519,ETA,8,NexusVex,Viral,Poison,INFECTION VECTOR,1024,145,25,29,140,Contagion Strike,Contagion Silence,Contagion Ward,Plague Shield,Blight Overdrive,Venom Onslaught,Toxin Terminus,Blight Charge,Contagion Lock,Strain NexusVex breaches containment. Poison-mutation sequence active. Quarantine failed.,ETA-4519_NexusVex_idle.png,ID.6155|ID.7575|ID.4679,"[128, 142, 55]"
ETA-4520,ETA,8,StellarXel,Angelic,Dark,CELESTIAL ORDER,1244,144,23,32,138,Shadow Catalyst,Night Slam,Umbra Empower,Eclipse Cataclysm,Umbra Drain,Abyss Drain,Eclipse Onslaught,Umbra Empower,Eclipse Slam,StellarXel descends from the LUMINA SECT. Dark radiance shields the faithful.,ETA-4520_StellarXel_idle.png,ID.5435|ID.5794|ID.8856,"[245, 214, 220]"
ETA-4521,ETA,8,Ron Construct,Mechanical,Ice,GEAR SECT,1615,106,28,21,93,Crystal Charge,Freeze Zenith,Hail Silence,Freeze Shield,Glacier Drain,Crystal Barrage,Glacier Apotheosis,Glacier Charge,Glacier Restore,Unit Ron Construct deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Ice.,ETA-4521_Ron_Construct_idle.png,ID.7252|ID.2597|ID.8282,"[0, 158, 92]"
ETA-4522,ETA,8,Dusen,Viral,Time,CORRUPTED SECTOR,1624,120,21,24,111,Epoch Slam,Loop Apotheosis,Shift Ward,Chrono Strike,Chrono Drain,Epoch Barrage,Epoch Apotheosis,Paradox Ward,Chrono Bind,Strain Dusen breaches containment. Time-mutation sequence active. Quarantine failed.,ETA-4522_Dusen_idle.png,ID.2265|ID.7734|ID.2538,"[122, 30, 136]"
ETA-4523,ETA,8,Tor Saint,Angelic,Wind,CELESTIAL ORDER,1387,100,20,27,100,Squall Apotheosis,Squall Charge,Draft Cleanse,Draft Lock,Squall Suppress,Squall Charge,Breeze Restore,Draft Slam,Breeze Apotheosis,Tor Saint descends from the ASTRUM DIVISION. Wind radiance shields the faithful.,ETA-4523_Tor_Saint_idle.png,ID.5712|ID.6133|ID.5313,"[239, 173, 18]"
ETA-4524,ETA,8,Nexon,Demonic,Wind,BRIMSTONE CELL,1039,145,27,20,66,Cyclone Stun,Draft Overdrive,Gale Cleanse,Gale Shield,Gale Charge,Draft Barrage,Draft Zenith,Squall Stun,Cyclone Slam,Nexon claws forth from the PANDEMONIUM NET. Wind burns in its wake.,ETA-4524_Nexon_idle.png,ID.5191|ID.3040|ID.4367,"[38, 172, 175]"
ETA-4525,ETA,8,Kallor,Demonic,Nature,BRIMSTONE CELL,1625,143,22,26,92,Bloom Silence,Canopy Charge,Bloom Strike,Canopy Silence,Spore Ward,Root Catalyst,Thorn Shield,Thorn Charge,Canopy Cataclysm,Kallor claws forth from the PANDEMONIUM NET. Nature burns in its wake.,ETA-4525_Kallor_idle.png,ID.1191|ID.3130|ID.4864,"[25, 26, 75]"
ETA-4526,ETA,8,Aerath,Viral,Dark,ROT CLUSTER,1107,101,21,21,85,Shadow Rush,Abyss Overdrive,Void Silence,Umbra Cleanse,Eclipse Stun,Night Strike,Umbra Strike,Void Boost,Eclipse Zenith,Strain Aerath breaches containment. Dark-mutation sequence active. Quarantine failed.,ETA-4526_Aerath_idle.png,ID.2269|ID.2003|ID.6364,"[3, 138, 224]"
ETA-4527,ETA,8,Thalvax,Mechanical,Plasma,SYNTHETIC NETWORK,1291,103,26,24,110,Solar Barrage,Nebula Silence,Flux Boost,Solar Catalyst,Nebula Ward,Flux Bind,Fusion Barrage,Nebula Overdrive,Nebula Rush,Unit Thalvax deployed from GEAR SECT. Core temperature stable. Elemental sync: Plasma.,ETA-4527_Thalvax_idle.png,ID.1624|ID.1607|ID.9303,"[237, 169, 108]"
